TP9,AF7,AF8,TP10
-9.766,36.621,-82.52,-95.703
-14.16,35.156,52.246,-90.332
-16.602,31.738,177.734,-76.66
-11.719,32.715,63.965,-72.266
-16.113,29.297,-15.137,-87.402
-19.531,29.297,-62.012,-105.957
-15.137,32.227,53.223,-97.168
-17.09,31.25,120.605,-83.984
-18.066,30.762,24.414,-86.914
-19.531,32.715,-5.371,-98.633
-26.855,28.32,-29.297,-111.816
-28.32,23.438,41.992,-110.84
-24.414,27.832,128.418,-95.215
-23.438,28.809,77.148,-82.52
-26.367,24.414,15.137,-86.426
-26.855,23.438,-41.504,-93.75
-25.391,24.414,9.277,-93.262
-25.391,26.367,110.84,-72.754
-23.926,25.391,85.449,-58.105
-22.461,27.344,26.855,-62.5
-23.926,26.855,-72.266,-76.66
-25.879,24.414,20.996,-88.379
-18.066,27.832,141.602,-72.266
-14.16,29.297,83.008,-61.523
-20.996,24.902,19.043,-71.289
-23.438,22.461,-28.809,-82.52
-20.508,24.902,-64.453,-81.055
-16.113,25.391,83.496,-65.918
-12.695,25.879,140.625,-58.594
-12.207,26.367,9.766,-63.477
-16.602,28.32,-7.812,-76.66
-19.531,28.32,-6.836,-80.566
-19.531,24.414,56.152,-68.848
-13.672,20.508,112.793,-58.594
-7.324,23.438,65.918,-56.641
-12.207,23.438,-7.324,-67.871
-11.23,21.973,-28.32,-73.242
-4.883,24.902,76.66,-60.547
0.488,23.438,134.766,-52.246
1.465,19.531,26.367,-53.711
-8.301,20.02,-25.391,-66.895
-8.789,24.902,-75.684,-78.125
-2.441,24.902,22.461,-70.312
-5.371,20.508,133.301,-56.641
-9.766,20.996,40.039,-54.688
-6.348,21.484,-15.137,-67.871
-5.371,23.926,-49.316,-78.125
-9.277,25.879,63.965,-67.383
-7.324,27.832,89.844,-52.246
-6.836,29.297,17.578,-49.805
-14.16,29.297,-5.859,-68.359
-18.066,29.785,-91.309,-85.938
-20.02,21.973,2.93,-77.637
-15.137,20.02,133.301,-63.477
-9.766,25.391,57.129,-53.711
-16.113,21.973,-37.598,-64.453
-18.066,18.555,-94.727,-78.125
-12.207,17.09,-30.762,-70.801
-4.395,12.695,111.328,-56.641
-4.883,11.23,94.238,-51.758
-10.742,17.09,-11.23,-62.012
-13.672,20.996,-83.984,-75.684
-13.184,22.949,-44.922,-75.195
-8.789,27.344,83.984,-64.453
-6.836,24.902,58.105,-55.664
-6.836,23.926,-9.766,-62.012
-9.766,24.902,-64.453,-75.684
-10.742,25.391,-37.109,-77.148
-6.348,28.32,37.109,-64.941
-3.906,27.344,57.617,-57.129
-5.859,22.949,20.996,-55.664
-10.742,22.949,-46.875,-68.848
-10.254,24.902,-101.562,-81.543
-7.324,24.902,36.621,-61.523
-3.418,25.391,112.305,-44.922
-3.418,26.367,4.883,-48.828
-2.93,27.344,-52.734,-58.594
-4.395,26.367,-45.898,-70.312
-3.906,22.461,78.125,-61.523
-0.977,24.414,62.012,-42.969
-3.906,25.879,-25.879,-41.992
-7.812,20.996,-14.16,-63.477
-8.789,21.484,-51.758,-77.148
-6.836,26.367,23.438,-65.918
-6.348,22.461,130.859,-56.641
-7.324,20.508,38.086,-58.105
-6.836,24.902,-74.219,-62.5
-9.766,28.32,-105.957,-68.848
-7.324,29.785,62.988,-57.617
-2.441,27.832,116.699,-43.945
-4.883,25.391,31.738,-41.992
-12.695,20.996,-41.016,-49.316
-18.066,22.949,-83.008,-65.43
-12.207,24.902,40.039,-66.895
-7.812,20.996,118.652,-57.617
-12.207,21.484,44.434,-56.152
-12.695,22.461,-9.277,-62.5
-10.254,22.461,-65.43,-74.219
-6.348,23.438,7.812,-70.312
-0.488,26.367,164.062,-57.617
-2.441,30.762,83.984,-50.781
-5.371,29.785,-4.883,-63.477
-6.348,25.879,-26.367,-75.684
-4.395,25.391,29.785,-68.359
-6.836,29.297,97.656,-58.594
-3.906,27.832,99.121,-55.176
-0.488,26.367,42.48,-61.523
-3.906,30.273,-43.457,-74.707
-3.906,29.297,27.344,-74.707
-1.953,21.973,124.023,-61.035
0.0,20.02,74.219,-56.152
0.977,28.32,37.109,-60.547
-7.812,29.297,-37.109,-75.195
-9.766,22.949,-46.387,-80.078
-8.301,23.438,106.934,-63.965
-8.789,31.25,92.773,-52.246
-3.906,29.785,-24.414,-55.664
-12.207,23.438,-36.133,-70.801
-17.09,25.879,-31.25,-77.637
-6.836,29.297,85.449,-59.082
0.0,26.855,131.836,-43.945
2.441,26.367,29.785,-49.316
-0.977,28.809,-20.508,-62.5
-7.324,25.879,-56.641,-71.777
-7.324,23.438,60.059,-68.359
-7.812,24.902,99.121,-59.57
-12.695,26.855,5.859,-60.547
-15.625,25.879,-25.391,-77.148
-16.602,26.855,-87.402,-86.914
-18.555,24.414,26.367,-77.148
-15.625,22.461,144.043,-60.059
-2.441,28.32,56.152,-41.016
-10.742,23.438,-18.066,-52.734
-31.25,11.719,-41.504,-82.031
-24.414,12.695,75.684,-74.219
-15.137,19.043,138.672,-48.828
-18.555,21.484,61.035,-46.875
-20.02,21.973,18.555,-61.523
-23.926,17.578,-18.066,-72.754
-22.949,13.184,29.785,-62.5
-14.16,14.16,100.098,-48.828
-8.789,16.113,94.238,-53.711
-10.742,16.602,42.48,-60.059
-13.672,17.578,-24.902,-69.824
-9.766,21.973,8.301,-67.871
-6.348,15.625,145.996,-54.199
-5.371,9.277,97.656,-57.129
-8.301,17.578,15.625,-70.801
-15.137,20.996,-21.973,-77.637
-15.625,20.996,20.996,-70.801
-12.695,20.508,139.648,-64.453
-15.625,21.484,44.922,-64.453
-20.02,23.926,-45.898,-66.895
-16.113,24.414,-20.996,-75.195
-12.695,25.879,-10.254,-80.078
-7.812,27.344,103.516,-69.824
-8.301,23.438,111.328,-57.617
-15.137,20.508,9.277,-62.988
-17.578,24.902,-55.664,-75.195
-15.625,28.32,-11.719,-76.66
-15.625,28.809,106.445,-63.477
-12.207,25.879,74.707,-54.688
-7.812,25.879,17.09,-54.688
-13.672,25.391,-26.855,-71.289
-9.766,23.438,-84.961,-78.613
-6.348,21.973,54.199,-58.105
-10.254,20.996,145.02,-43.457
-14.648,24.414,8.789,-50.293
-18.066,24.902,-44.434,-71.777
-18.066,22.461,-37.109,-82.52
-15.137,22.461,79.59,-66.895
-12.207,22.461,111.328,-53.223
-16.602,16.113,12.695,-59.57
-23.438,14.648,-46.875,-82.031
-24.414,16.113,-49.316,-94.238
-23.926,14.648,56.641,-77.637
-18.555,14.648,78.613,-62.012
-17.09,13.672,34.18,-64.941
-26.367,16.113,11.23,-79.102
-25.879,20.996,-47.363,-84.473
-20.02,19.531,10.254,-76.66
-19.531,18.066,150.879,-64.453
-20.02,16.602,71.289,-60.547
-19.531,17.578,-18.555,-73.242
-20.02,21.484,-39.551,-83.984
-22.461,21.484,26.855,-77.148
